date,smh_xlp_ratio,smh_xlp_yoy
2014-03-21,0.6368168285209288,17.628180292089457
2014-03-24,0.6352868002067826,17.514205810832763
2014-03-25,0.6374487964769853,17.99316482669404
2014-03-26,0.6324429734211691,16.8286405966954
2014-03-27,0.6293529003016618,15.939610676107897
2014-03-28,0.6323878520910656,16.27793410225045
2014-03-31,0.6386161812224781,19.24353079877448
2014-04-01,0.6491928055829114,23.5187300920221
2014-04-02,0.6452166266723744,23.736374529339322
2014-04-03,0.6461472110617215,23.769715171076644
2014-04-04,0.6322505491057897,20.33398372077211
2014-04-07,0.6281560095355009,20.243860707179984
2014-04-08,0.633887866151235,20.068870991600065
2014-04-09,0.6386143361244915,19.295086586936215
2014-04-10,0.6256426178895153,17.48814045899141
2014-04-11,0.6198359219148625,17.25780626239768
2014-04-14,0.6204021219848178,18.062659095932297
2014-04-15,0.6231485816440968,18.778909578428625
2014-04-16,0.6157663521670587,18.866192325761077
2014-04-17,0.6232254989296102,19.789875335401685
2014-04-21,0.6263930585754877,20.876078825969113
2014-04-22,0.6311022158667675,21.110337294372773
2014-04-23,0.6300400833319256,19.271678248644307
2014-04-24,0.6322786679531496,16.58880156179363
2014-04-25,0.6114482143999959,12.211313006493118
2014-04-28,0.6029122264540542,11.654724782825765
2014-04-29,0.6081072189699507,11.68155694073587
2014-04-30,0.6087719107847545,10.501397453229778
2014-05-01,0.6048219179117333,10.122944869879635
2014-05-02,0.6057766385780117,9.309049057345064
2014-05-05,0.6072868962678749,9.214462537787615
2014-05-06,0.6102041652419963,8.422466041310695
2014-05-07,0.6067277712432264,8.392125846633158
2014-05-08,0.6098530662742057,7.775129578461892
2014-05-09,0.6042668262184584,5.7074040174711405
2014-05-12,0.6137384565661848,7.060294984464277
2014-05-13,0.6080443732350691,7.551543833693808
2014-05-14,0.6063065509143353,8.34895036338743
2014-05-15,0.6056517368665266,8.363060036720093
2014-05-16,0.6067245009118045,8.867819527505816
2014-05-19,0.6132810539397261,8.979659849240452
2014-05-20,0.6124971420261017,8.05892197830027
2014-05-21,0.6125793667115979,8.43006925419989
2014-05-22,0.6157310474651632,10.378715444100962
2014-05-23,0.619523471497284,10.836679534543304
2014-05-27,0.6266753410391851,13.20457254189824
2014-05-28,0.6284752541717762,12.709667321209018
2014-05-29,0.6236881793823353,9.308868920803182
2014-05-30,0.6203139487215852,7.259520555581966
2014-06-02,0.6253215680207254,7.442026119970047
2014-06-03,0.6353670368191421,9.509332575803464
2014-06-04,0.6351173418375501,8.984968723553655
2014-06-05,0.635122509404645,9.675745928184366
2014-06-06,0.6367700801409137,10.747560774670383
2014-06-09,0.6390919550218594,11.477066427416393
2014-06-10,0.6422961691108562,11.425184915267028
2014-06-11,0.6450781731760578,13.72900294915993
2014-06-12,0.6482111736326338,15.087827046224177
2014-06-13,0.6588742349767247,16.145955474558725
2014-06-16,0.6590655940054385,16.32326548538132
2014-06-17,0.6618866496236248,16.86721226740726
2014-06-18,0.6529664585457524,14.071030000350259
2014-06-19,0.6516257601271053,13.148431459786503
2014-06-20,0.6536285093429267,13.544662117581163
2014-06-23,0.6551314671008083,15.433603504419446
2014-06-24,0.6531944980223255,16.77137812174003
2014-06-25,0.658633606688612,15.506584260642931
2014-06-26,0.6577734120756452,15.870840810621623
2014-06-27,0.6587407118033795,15.945139253075414
2014-06-30,0.6641626570102687,15.581792177616416
2014-07-01,0.6733893423988185,18.358143668446303
2014-07-02,0.6735902449670225,18.5731920121871
2014-07-03,0.6763631890951769,18.069179483567787
2014-07-07,0.6702760784535172,15.738886877551007
2014-07-08,0.668293060754338,19.097456304399472
2014-07-09,0.6674566825150715,18.880237444496405
2014-07-10,0.668887774528473,18.37342965445563
2014-07-11,0.6665458095169164,16.716178238496827
2014-07-14,0.6681528682772443,16.608399399133965
2014-07-15,0.6724933048530303,17.506014127787605
2014-07-16,0.6797905659725819,17.63253627576704
2014-07-17,0.6671839240685052,15.49897291612712
2014-07-18,0.6683578162623282,18.58123899399382
2014-07-21,0.674139589229563,20.765501953826735
2014-07-22,0.6817405456973111,22.08565422038331
2014-07-23,0.6685001407608854,19.391961627075148
2014-07-24,0.6660503392931753,19.64193472770308
2014-07-25,0.6561605070294817,17.65792286867065
2014-07-28,0.6592781779551105,18.756261718557333
2014-07-29,0.6619806074358221,19.360375619436443
2014-07-30,0.6780741936737202,20.934779217750243
2014-07-31,0.6768149805525193,20.11766889045221
2014-08-01,0.6740186619915007,19.121235410210048
2014-08-04,0.674738588122705,19.95090870920113
2014-08-05,0.6665205138665603,18.636168827021372
2014-08-06,0.6645807248703965,18.91531193065914
2014-08-07,0.6626443317169323,19.081465436818768
2014-08-08,0.6610483917750889,19.392751073829828
2014-08-11,0.6631869005321043,19.57539651659903
2014-08-12,0.6630949018292968,18.995219834457423
2014-08-13,0.6692623209395954,18.912248457789072
2014-08-14,0.6688423015610431,19.18011161177251
2014-08-15,0.6734556164698384,20.73272800860724
2014-08-18,0.6724871473508078,19.71708891797799
2014-08-19,0.6749573281426008,19.780096732292595
2014-08-20,0.6791451537929811,19.97545189563732
2014-08-21,0.6808675335529454,20.34386127132748
2014-08-22,0.6834724649354378,20.575409208956952
2014-08-25,0.6771600950424576,19.76550428096424
2014-08-26,0.6777435631395234,18.6886641156776
2014-08-27,0.6787708161154412,20.652217840482034
2014-08-28,0.68086004889209,19.19739065129007
2014-08-29,0.6857147680852355,19.53671487805917
2014-09-02,0.6852785744855151,20.534418761842744
2014-09-03,0.6868117685322375,19.55352399879553
2014-09-04,0.6861433221171898,17.83679229932611
2014-09-05,0.6855139434474803,16.666364987369285
2014-09-08,0.6911949704269463,18.390513107868877
2014-09-09,0.6877050650787321,17.127070427807766
2014-09-10,0.6842371957131393,14.589729908395244
2014-09-11,0.6849912941335335,15.897241740530998
2014-09-12,0.6805522093967503,15.437987265652552
2014-09-15,0.6714249092225992,14.124516456165036
2014-09-16,0.67626625073867,15.409195712850664
2014-09-17,0.6822264615104268,15.891472958505215
2014-09-18,0.6900718679168011,17.562719370970537
2014-09-19,0.6801738246119642,15.37723013616028
2014-09-22,0.6737638544397525,14.251648167948638
2014-09-23,0.6767145553150556,14.50423015098008
2014-09-24,0.6759356179931241,13.13487688461883
2014-09-25,0.6731749760125457,11.95133789011562
2014-09-26,0.6768386789235744,13.175662735110393
2014-09-29,0.6780448710809426,13.693282221413039
2014-09-30,0.673918700252653,11.905695312645515
2014-10-01,0.6632619437975434,9.727155824009316
2014-10-02,0.6589003106397141,8.841646237636835
2014-10-03,0.6564535391022908,8.16346806503745
2014-10-06,0.6531537145441005,7.1681315725920625
2014-10-07,0.6442839499390571,5.760542062716079
2014-10-08,0.6485063746281565,8.147686969681288
2014-10-09,0.6397406219716725,7.1182689920932685
2014-10-10,0.5945154531138573,-0.8603475916101777
2014-10-13,0.5942439123258119,-0.93077645858477
2014-10-14,0.6072136954739601,1.0070786313131075
2014-10-15,0.6144613643557905,1.9095808896155475
2014-10-16,0.6264830226325959,4.5441875527698405
2014-10-17,0.6254361048352689,5.0015527537979665
2014-10-20,0.6225089085389997,4.229949339851591
2014-10-21,0.6390174107553059,6.374986915343106
2014-10-22,0.6300399078730803,6.326331674426888
2014-10-23,0.6385577884746022,11.392367198730291
2014-10-24,0.6385862358334138,10.66029114037601
2014-10-27,0.6477918977586294,12.050052009798273
2014-10-28,0.6469423127433978,12.83732507047619
2014-10-29,0.6484514623114506,12.368083348318937
2014-10-30,0.6340144677622734,9.557344046436045
2014-10-31,0.6550379527753194,12.112910609723372
2014-11-03,0.6562035841978943,13.370111243250427
2014-11-04,0.6524711531538165,13.079888221952828
2014-11-05,0.6523224375001289,13.516858991151825
2014-11-06,0.6502008148228993,13.81011897939246
